card,template,metric_key,display_name,raw_fields,primary_source,source_type,source_url,secondary_source,frequency,lookback,computation,missing_action,higher_is_better
Valuation,A,hist_val_band,Historical Valuation Band (current PE vs. 5Y median PE),"PE_CURRENT, PE_5Y_MEDIAN",Derived: PE_5Y_MEDIAN computed from rolling historical EPS + price,Computed,—,Trendlyne 'Historical PE' chart data,Quarterly update,5 years,PE_5Y_Median / PE_Current × 100 (ratio > 100 means stock is cheap vs history),None if < 3 years of PE history,True
Valuation,A,fcf_yield,FCF Yield (%) = FCF / Market Cap,"FCF_TTM (CFO - CAPEX), MARKET_CAP",CFO + CAPEX: NSE/BSE XBRL Cash Flow Statement,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,(CFO_TTM - CAPEX_TTM) / Market_Cap × 100,None if FCF negative,True
Valuation,A,iv_gap,Intrinsic Value Gap (% discount of price to IV),"IV_ESTIMATE (internal model), CLOSE_PRICE",Computed internally (Graham Number or DCF using XBRL inputs),Computed,—,—,Quarterly (recomputed after each results season),Forward 3Y projections,(IV_Estimate - Close) / IV_Estimate × 100 (positive = stock is cheap),None if IV model inputs incomplete (< 2 years of earnings),True
Valuation,B/C,pb_percentile,Price-to-Book Ratio,"CLOSE_PRICE, BOOK_VALUE_PER_SHARE",Price: NSE Bhavcopy. BV: XBRL balance sheet,Official Archive + Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Price: daily. BV: quarterly,Latest quarter,Close / BVPS; inverted for score (lower P/B preferred),None if net worth negative,False
Valuation,B/C,roe_adj_pb,ROE-Adjusted P/B (P/B ÷ ROE — lower is better),"PB_RATIO, ROE_TTM",Derived from XBRL filings,Computed,—,Screener.in export,Quarterly,TTM,P/B ÷ ROE (analagous to PEG for banks); inverted for score,None if ROE ≤ 0,False
Valuation,B/C,pe_percentile,PE Ratio (TTM) — secondary for banks,"CLOSE_PRICE, EPS_TTM",NSE Bhavcopy + XBRL filings,Official Archive + Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Price: daily. EPS: quarterly,TTM,Close / EPS_TTM; inverted,None if EPS ≤ 0,False
Valuation,B/C,hist_pb_band,Historical P/B Band (current P/B vs. 5Y median),"PB_CURRENT, PB_5Y_MEDIAN",Derived from rolling historical BVPS + price,Computed,—,Trendlyne historical P/B data,Quarterly,5 years,PB_5Y_Median / PB_Current × 100,None if < 3 years P/B history,True
Valuation,B/C,fair_value_gap,Fair P/B Gap (% discount to justified P/B = ROE/COE),"ROE_TTM, COST_OF_EQUITY (assumed 12%), PB_CURRENT",Computed from XBRL ROE + assumed COE,Computed,—,—,Quarterly,TTM,(ROE / COE - PB_Current) / (ROE / COE) × 100; positive = cheap,None if ROE ≤ 0,True
Growth,A,rev_cagr_3y,Revenue CAGR 3Y (%),REVENUE_FROM_OPERATIONS (annual P&L),NSE/BSE XBRL Annual Financial Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export CSV,Annual,4 fiscal years (3-year CAGR),(Rev_FY0 / Rev_FY-3)^(1/3) - 1,None if < 3 years of annual results,True
Growth,A,eps_cagr_3y,EPS CAGR 3Y (%),"PAT, WEIGHTED_AVG_SHARES",NSE/BSE XBRL Annual Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Annual,4 fiscal years,(EPS_FY0 / EPS_FY-3)^(1/3) - 1; None if base year EPS ≤ 0,None if base EPS ≤ 0 or < 3 years of data,True
Growth,A,rev_growth_yoy,Latest YoY Revenue Growth (%),REVENUE_FROM_OPERATIONS (latest TTM vs prior TTM),NSE/BSE XBRL Quarterly Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM vs. prior TTM,(Rev_TTM / Rev_PriorTTM) - 1,None if < 2 years of quarterly data,True
Growth,A,eps_growth_yoy,Latest YoY EPS Growth (%),"PAT_TTM, SHARES",NSE/BSE XBRL Quarterly Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM vs. prior TTM,(EPS_TTM / EPS_PriorTTM) - 1,None if base EPS ≤ 0,True
Growth,A,peer_growth_rank,Peer-Relative Growth Rank (percentile of Rev CAGR 3Y in peer group),rev_cagr_3y for all peers,Derived from rev_cagr_3y computation above,Computed,—,—,Quarterly,3 years,Rank of stock's Rev CAGR 3Y within peer group,None if rev_cagr_3y is None,True
Growth,A,growth_stability,Growth Stability (1 - CoV of annual revenue growth over 5Y),REVENUE_FROM_OPERATIONS (5 annual observations),NSE/BSE XBRL Annual Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Annual,5 fiscal years,"1 - (StdDev of 4 YoY growth rates / Mean of 4 YoY growth rates); clipped [0,1]",None if < 4 annual observations,True
Growth,B,advances_growth,Advances (Loan Book) Growth YoY (%),ADVANCES (balance sheet),NSE/BSE XBRL Quarterly Balance Sheet,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank investor relations quarterly presentations,Quarterly,YoY (same quarter prior year),(Advances_Q0 / Advances_Q-4) - 1,None if < 4 quarters of data,True
Growth,B,deposit_growth,Deposit Growth YoY (%),DEPOSITS (balance sheet),NSE/BSE XBRL Quarterly Balance Sheet,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank IR presentations,Quarterly,YoY,(Deposits_Q0 / Deposits_Q-4) - 1,None if < 4 quarters,True
Growth,B,nii_growth,NII (Net Interest Income) Growth YoY (%),"INTEREST_EARNED, INTEREST_EXPENDED",NSE/BSE XBRL Quarterly P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,YoY TTM,(NII_TTM / NII_PriorTTM) - 1,None if < 4 quarters,True
Growth,B,fee_income_growth,Fee / Non-Interest Income Growth YoY (%),OTHER_INCOME (non-interest),NSE/BSE XBRL Quarterly P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank IR presentations,Quarterly,YoY TTM,(FeeIncome_TTM / FeeIncome_PriorTTM) - 1,None if < 4 quarters,True
Growth,B,earnings_growth,PAT Growth YoY (%),PAT_TTM,NSE/BSE XBRL Quarterly P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,YoY TTM,(PAT_TTM / PAT_PriorTTM) - 1; None if base ≤ 0,None if base PAT ≤ 0,True
Growth,B,growth_stability,Growth Stability (1 - CoV of NII growth over 5Y),NII quarterly data (20 quarters),NSE/BSE XBRL,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Annual,5 years,1 - CoV of 4 annual NII growth rates,None if < 4 annual observations,True
Growth,C,aum_growth,AUM Growth YoY (%),AUM (Assets Under Management) from quarterly investor presentations,Company quarterly investor presentations / BSE filings (Corporate Announcement),Official Regulatory Filing,https://www.bseindia.com/corporates/ann.html,Trendlyne AUM tracker,Quarterly,YoY,(AUM_Q0 / AUM_Q-4) - 1,Fallback to advances_growth if AUM not separately disclosed,True
Profitability,A,roce_3y_median,3-Year Median ROCE (%),"EBIT (annual), CAPITAL_EMPLOYED = Total Assets - Current Liabilities",NSE/BSE XBRL Annual Results,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Annual,3 fiscal years,Median of (EBIT / Capital Employed × 100) over 3 years,None if < 2 annual observations,True
Profitability,A,ebitda_margin,EBITDA Margin % (TTM),"EBITDA_TTM, REVENUE_TTM",NSE/BSE XBRL Quarterly P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,EBITDA_TTM / Revenue_TTM × 100,None if EBITDA not derivable (banks/financials use Template B/C),True
Profitability,A,cfo_pat_ratio,CFO/PAT Ratio (earnings quality proxy),"CFO_TTM, PAT_TTM",NSE/BSE XBRL Cash Flow + P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,CFO_TTM / PAT_TTM (ratio ≥ 1.0 indicates clean earnings),None if PAT ≤ 0 or CFO statement missing,True
Profitability,A,margin_trend,Margin Trend Score (EBITDA margin direction over 3Y),"EBITDA_MARGIN (annual, 3 observations)",Derived from XBRL filings,Computed,—,Screener.in export,Annual,3 fiscal years,Linear regression slope of annual EBITDA margins; normalized 0-100 within peer group,None if < 2 annual margin observations,True
Profitability,A,roa,Return on Assets % (TTM),"PAT_TTM, TOTAL_ASSETS (avg of opening + closing)",NSE/BSE XBRL,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,PAT_TTM / Avg_Total_Assets × 100,None if total assets unavailable,True
Profitability,A,fcf_consistency,FCF Consistency (% of years with positive FCF over 5Y),FCF_ANNUAL (5 observations),NSE/BSE XBRL Cash Flow Statement (annual),Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Annual,5 fiscal years,Count(FCF > 0) / 5 × 100,None if < 3 annual cash flow observations,True
Profitability,B/C,roa,"Return on Assets % (bank-specific, TTM)","PAT_TTM, TOTAL_ASSETS",NSE/BSE XBRL,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,PAT_TTM / Avg_Total_Assets × 100 (RBI standard: good banks > 1%),None if assets unavailable,True
Profitability,B/C,roe,Return on Equity % (TTM),"PAT_TTM, AVERAGE_EQUITY",NSE/BSE XBRL,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,PAT_TTM / Avg_Equity × 100,None if equity ≤ 0,True
Profitability,B/C,nim,Net Interest Margin % (TTM),"NII_TTM, AVERAGE_INTEREST_EARNING_ASSETS",NSE/BSE XBRL Quarterly Results + balance sheet,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank IR quarterly presentations,Quarterly,TTM,NII_TTM / Avg_Interest_Earning_Assets × 100,Fallback: NIM from investor presentation if XBRL insufficient,True
Profitability,B/C,cost_to_income,Cost-to-Income Ratio % (TTM),"OPERATING_EXPENSES_TTM, NET_REVENUE_TTM (NII + Other Income)",NSE/BSE XBRL Quarterly P&L,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank IR presentations,Quarterly,TTM,Opex_TTM / Net_Revenue_TTM × 100; inverted for score,None if net revenue ≤ 0,False
Profitability,B/C,provision_coverage,Provision Coverage Ratio % (PCR),"CUMULATIVE_PROVISIONS, GROSS_NPA",NSE/BSE XBRL quarterly notes to accounts / bank IR presentations,Official Filing + Supplemental,https://www.bseindia.com/corporates/ann.html,Trendlyne PCR tracker,Quarterly,Latest quarter,Cumulative_Provisions / Gross_NPA × 100,None if GNPA = 0 (no NPA) → set to 100 (perfect coverage),True
Profitability,B/C,credit_cost_discipline,Credit Cost Ratio % (provisions / average advances) — lower is better,"PROVISIONS_FOR_NPA_TTM, AVERAGE_ADVANCES",NSE/BSE XBRL,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Bank IR presentations,Quarterly,TTM,Provisions_TTM / Avg_Advances × 100; inverted for score,None if advances data missing,False
Entry Point,A,discount_to_iv,Discount to Intrinsic Value (%),"IV_ESTIMATE (from Valuation card), CLOSE_PRICE",Computed — same IV model as Valuation card iv_gap,Computed,—,—,Quarterly (recomputed after results),FY+1 to FY+3 projections,"max(0, (IV - Close) / IV × 100); same as iv_gap; both cards share one canonical IV",None if IV not computable,True
Entry Point,A/B/C,rsi_state,"RSI State Score (oversold-preferred, non-monotonic)",CLOSE_PRICE (14-day RSI),NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,14 trading days,"RSI = Wilder RSI(14). Score: RSI 25-40 → 100, 40-50 → 75, 50-60 → 50, 60-70 → 30, >70 or <20 → 0. Non-monotonic; panic zone (<20) treated same as overbought.",None if < 14 days of price data,True
Entry Point,A/B/C,price_vs_200dma,Price vs. 200-Day MA (% deviation),"CLOSE_PRICE, 200D_SMA",NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,200 trading days,(Close - SMA200) / SMA200 × 100; negative means below 200DMA (entry zone; scored higher),None if < 200 days of history,True
Entry Point,A/B/C,price_vs_50dma,Price vs. 50-Day MA (% deviation),"CLOSE_PRICE, 50D_SMA",NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,50 trading days,(Close - SMA50) / SMA50 × 100; negative preferred (entry forming below MA),None if < 50 days of history,True
Entry Point,A,volume_delivery,Volume & Delivery % Confirmation Score,"DELIVERABLE_QTY, TRADED_QTY (from NSE delivery data)",NSE Security-wise Price Volume & Delivery Archive,Official Downloadable Archive,https://www.nseindia.com/report-detail/eq_security,NSE UDiFF Bhavcopy supplemental delivery file,Daily,20 trading days,Delivery% = Deliverable_Qty / Traded_Qty × 100. Score: 20D avg delivery% vs. 60D avg delivery%; rising delivery% on price support = higher score,None if delivery data not available for that symbol/series,True
Entry Point,A/B/C,rs_turn,Relative-Strength Turn (RS momentum reversal),"CLOSE_PRICE of stock, CLOSE_PRICE of Nifty 500 index",NSE Bhavcopy (stock) + NSE Index EOD data (Nifty 500),Official Downloadable Archive,https://archives.nseindia.com/content/indices/ind_close_all_{DD}{MMM}{YYYY}.csv,yfinance (^CRSLDX as proxy),Daily,13 weeks + 26 weeks (JdK RS-Momentum methodology),RS = Close / Nifty500_Close. RS_Turn = slope of RS over last 5 weeks vs prior 5 weeks; positive slope change = positive score,None if Nifty 500 index data unavailable,True
Entry Point,A,volatility_compression,Volatility Compression / Base Quality (ATR contraction),"HIGH, LOW, CLOSE (daily, 20 periods)",NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,20 vs. 60 trading days,"ATR_Ratio = ATR(20) / ATR(60); lower ratio = tighter base = higher score. Score = (1 - ATR_Ratio) × 100, clipped [0,100]",None if < 60 days of OHLC data,True
Entry Point,B/C,discount_to_fair_pb,Discount to Fair P/B (%),"PB_CURRENT, FAIR_PB (= ROE/COE)",Computed — same fair_value_gap model as Valuation card,Computed,—,—,Quarterly,TTM,Same as fair_value_gap; both cards share one canonical fair P/B estimate,None if ROE ≤ 0,True
Entry Point,B/C,volume,Volume Confirmation (20D avg volume vs. 60D avg volume),TRADED_QTY (daily),NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,20 vs. 60 trading days,20D_Avg_Vol / 60D_Avg_Vol; ratio > 1 means rising volume = higher score,None if < 60 days data,True
Entry Point,B/C,drawdown_normalization,Drawdown Normalization (% recovered from 52W low; same as Performance card),"HIGH_52W, LOW_52W, CLOSE",NSE UDiFF CM Bhavcopy,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,252 trading days,(Close - 52W_Low) / (52W_High - 52W_Low) × 100; same field as drawdown_recovery,None if range is zero,True
Red Flags,A,promoter_pledge,Promoter Pledge Risk (% of promoter holding pledged),"PROMOTER_PLEDGED_SHARES, TOTAL_PROMOTER_HOLDING",BSE Shareholding Pattern (quarterly filing — SHP format),Official Regulatory Filing,https://www.bseindia.com/corporates/shpSummary.html,"NSE Shareholding Pattern page (same data, alternate download)",Quarterly (last trading day of Mar/Jun/Sep/Dec),Latest quarter,Pledged_Shares / Total_Promoter_Shares × 100; higher pledge % = higher risk raw value = lower score,Assume 0% if not disclosed (treat as clean); flag in audit log,False
Red Flags,A,asm_gsm_risk,ASM/GSM Surveillance Risk (binary flag),"ASM_STAGE (1-4), GSM_STAGE (1-6)",NSE ASM List (official downloadable PDF/CSV) + NSE GSM List,Official Downloadable Report,https://www.nseindia.com/static/regulations/additional-surveillance-measure | https://www.nseindia.com/regulations/graded-surveillance-measure,BSE ASM/GSM equivalent lists,As announced (typically fortnightly/monthly review),Current status,GSM Stage 6 = raw_risk 100; ASM Stage 4 = 90; ASM Stage 3 = 70; ASM Stage 2 = 50; ASM Stage 1 = 30; None = 0. Hard override: any ASM/GSM → card score capped ≤ 20,Assume 0 if not on any list; MUST refresh before each run,False
Red Flags,A,default_distress,Default/Distress Risk (credit rating + NPA signals),"CREDIT_RATING (CRISIL/ICRA/CARE), INTEREST_COVERAGE_RATIO, DEBT_TO_EQUITY",Credit rating: CRISIL/ICRA/CARE public rating disclosures via BSE announcements,Official Filing + Public Rating Disclosures,https://www.bseindia.com/corporates/ann.html,Screener.in Interest Coverage + D/E ratios,As announced (ratings) / Quarterly (financial ratios),Latest,"Composite: D/E > 3 → +30; Interest Coverage < 1.5 → +40; rating downgrade in last 6M → +30. Clipped [0,100]",Use financial ratio proxy if credit rating unavailable,False
Red Flags,A,accounting_quality,Accounting Quality Stress (modified Beneish M-Score components),"DSRI (receivables), GMI (gross margin), AQI (asset quality), SGI (sales growth), DEPI, SGAI, LVGI (leverage), TATA (accruals)",NSE/BSE XBRL Annual P&L + Balance Sheet,Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export for base ratios,Annual,2 consecutive fiscal years,Beneish M-Score 8-variable model; M > -1.78 signals potential manipulation (higher M = higher risk),None if < 2 years of annual data; weight redistributed,False
Red Flags,A,liquidity_manipulation,Liquidity/Manipulation Risk (thin volume + bid-ask spread proxy),"AVG_DAILY_TURNOVER (30D), MARKET_CAP, IMPACT_COST",NSE Bhavcopy traded value. Impact cost: NSE index eligibility reports,Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,Computed from bhavcopy volume × price,Daily (30D rolling),30 trading days,Raw_risk = 0 if 30D avg turnover > ₹5Cr; 30 if ₹1-5Cr; 70 if ₹25L-1Cr; 100 if < ₹25L. Plus +20 if stock is T2T (trade-to-trade) segment,Use market cap as liquidity proxy if turnover unavailable,False
Red Flags,A,governance_event,Governance Event Risk (recent regulatory/SEBI actions),"SEBI_ORDERS, NSE_DISCIPLINARY, AUDITOR_QUALIFICATION, AUDITOR_RESIGNATION","BSE Corporate Announcements (auditor change, SEBI orders) — manual/quarterly scan",Official Regulatory Filing,https://www.bseindia.com/corporates/ann.html,NSE Corporate Filings page,Quarterly scan (event-driven),Last 12 months,"Auditor resignation/qualification in 12M → +50; SEBI/exchange penalty → +30; management fraud news → +20. Clipped [0,100]",Assume 0 if no adverse events found; manual verification recommended for watchlist stocks,False
Red Flags,B/C,gnpa_nnpa_stress,GNPA/NNPA Stress Score,"GNPA_PCT, NNPA_PCT (% of advances)",NSE/BSE XBRL Quarterly Results (notes to accounts) / Bank IR presentations,Official Filing + Supplemental,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Trendlyne NPA tracker,Quarterly,Latest quarter,"Raw_risk = GNPA% × 5 + NNPA% × 10 (NNPA penalized more as it's net of provisions). Clipped [0,100]",None if NPA data not disclosed; flag as data gap; default to peer median,False
Red Flags,B,pcr_weakness,PCR Weakness (below-peer provision coverage),PROVISION_COVERAGE_RATIO (%),NSE/BSE XBRL + Bank IR presentations,Official Filing + Supplemental,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Trendlyne PCR data,Quarterly,Latest quarter,"Raw_risk = max(0, 75 - PCR%) × 1.33; PCR < 75% increases risk. Inverted: lower PCR = higher risk raw value = lower score",None if PCR not disclosed; treat as risk = 50 (moderate),False
Red Flags,C,alm_mismatch,ALM Mismatch / Refinancing Risk,"SHORT_TERM_BORROWINGS, LONG_TERM_ASSETS, CP_MATURING_6M",RBI ALM returns (not public) → proxy: short-term borrowings / total borrowings from XBRL balance sheet,Official Filing (proxy),https://www.nseindia.com/companies-listing/corporate-filings-financial-results,NBFC quarterly investor presentations (ALM disclosures post RBI circular),Quarterly,Latest quarter,"Raw_risk = (CP_Due_6M + ST_Borrowings) / Total_Borrowings × 100; higher short-term dependency = higher risk. Clipped [0,100]",None if breakdown unavailable; use credit rating outlook as proxy,False
Red Flags,B/C,capital_adequacy_stress,Capital Adequacy Stress (CAR below buffer),CRAR_PCT (Capital to Risk-weighted Assets Ratio),NSE/BSE XBRL quarterly notes + Bank/NBFC IR presentations,Official Filing + Supplemental,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,RBI supervisory disclosures (public),Quarterly,Latest quarter,"RBI minimum for banks = 11.5% (including CCB). Raw_risk = max(0, 14 - CRAR) × 10. CRAR ≥ 14% → risk = 0. Clipped [0,100]",None if CRAR not disclosed; flag as data gap,False
Red Flags,B/C,slippages_stress,Slippage Stress (fresh NPA formation rate),SLIPPAGE_RATIO (fresh NPAs added / opening advances),Bank/NBFC IR quarterly presentations (disclosed explicitly) + XBRL annex,Official Filing + Supplemental,https://www.bseindia.com/corporates/ann.html,Trendlyne slippage data,Quarterly,TTM,Slippage_Ratio = Fresh_NPA_Added_TTM / Avg_Advances × 100; inverted for score,None if not disclosed; proxy = GNPA change / avg advances,False
Red Flags,B/C,governance_promoter,Governance / Promoter Issues (banking-specific),"RBI_PENALTY, SEBI_ORDER, AUDITOR_CHANGE, PROMOTER_PLEDGE",BSE Corporate Announcements + RBI press releases (public),Official Regulatory Filing + Public Announcement,https://www.bseindia.com/corporates/ann.html | https://rbi.org.in/scripts/PressReleaseDisplay.aspx,NSE Corporate Filings page,Quarterly scan,Last 12 months,"RBI penalty > ₹1Cr → +40; auditor change → +30; SEBI order → +20; promoter pledge > 20% → +10. Clipped [0,100]",Assume 0 if no adverse events,False
Red Flags,B/C,surveillance_default,Surveillance / Default Risk,"ASM_STAGE, GSM_STAGE, CREDIT_RATING_OUTLOOK",NSE ASM/GSM Lists + Rating agency disclosures via BSE announcements,Official Downloadable Report + Official Filing,https://www.nseindia.com/static/regulations/additional-surveillance-measure,BSE ASM/GSM equivalents,As announced,Current status,Same staging logic as Template A asm_gsm_risk. Rating downgrade to sub-investment grade → +30 additional,Assume 0 if not on any list,False

